geog,tractid,d,pcalc,adj_rate,ll,ul,h_state,pcalc_state,adj_rate_state,ll_state,ul_state
County,08089,13,91625,16.7929,7.6138,25.972,2546,27655705,8.89833,8.54735,9.2493
County,08091,0,23610,0,0,0,2546,27655705,8.89833,8.54735,9.2493
County,08093,10,86960,12.4077,6.1088,20.915,2546,27655705,8.89833,8.54735,9.2493
County,08095,0,21590,0,0,0,2546,27655705,8.89833,8.54735,9.2493
County,08097,.,89545,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08099,6,60260,12.8903,5.4192,23.548,2546,27655705,8.89833,8.54735,9.2493
County,08101,112,823425,14.5985,11.8314,17.366,2546,27655705,8.89833,8.54735,9.2493
County,08103,4,32325,13.6768,3.8991,29.395,2546,27655705,8.89833,8.54735,9.2493
County,08105,11,56755,21.3526,11.0234,35.065,2546,27655705,8.89833,8.54735,9.2493
County,08107,12,124370,8.8583,3.7251,13.991,2546,27655705,8.89833,8.54735,9.2493
County,08109,.,32340,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08111,0,2720,0,0,0,2546,27655705,8.89833,8.54735,9.2493
County,08113,.,39840,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08115,.,11750,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08117,7,152145,3.2328,1.007,6.721,2546,27655705,8.89833,8.54735,9.2493
County,08119,10,120565,8.3025,3.9558,14.242,2546,27655705,8.89833,8.54735,9.2493
County,08121,.,24200,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08123,90,1475615,6.1879,4.8921,7.484,2546,27655705,8.89833,8.54735,9.2493
County,08125,0,50345,0,0,0,2546,27655705,8.89833,8.54735,9.2493
HSR,08201,12,357615,3.5976,1.5268,5.668,2546,27655705,8.89833,8.54735,9.2493
HSR,08202,126,1690805,7.3177,5.9997,8.636,2546,27655705,8.89833,8.54735,9.2493
HSR,08203,48,1643070,3.0889,2.2,3.978,2546,27655705,8.89833,8.54735,9.2493
HSR,08204,372,3440765,10.6791,9.5754,11.783,2546,27655705,8.89833,8.54735,9.2493
HSR,08205,9,201920,4.6912,2.1793,8.154,2546,27655705,8.89833,8.54735,9.2493
HSR,08206,48,337950,14.633,10.354,18.912,2546,27655705,8.89833,8.54735,9.2493
HSR,08207,112,823425,14.5985,11.8314,17.366,2546,27655705,8.89833,8.54735,9.2493
HSR,08208,34,234575,16.3769,10.6494,22.104,2546,27655705,8.89833,8.54735,9.2493
HSR,08209,20,481515,4.2451,2.3225,6.168,2546,27655705,8.89833,8.54735,9.2493
HSR,08210,20,508595,3.708,1.984,5.432,2546,27655705,8.89833,8.54735,9.2493
HSR,08211,18,228475,7.5841,4.0041,11.164,2546,27655705,8.89833,8.54735,9.2493
HSR,08212,46,881495,4.9283,3.4774,6.379,2546,27655705,8.89833,8.54735,9.2493
HSR,08213,27,391955,6.7367,4.1132,9.36,2546,27655705,8.89833,8.54735,9.2493
HSR,08214,319,2485575,12.6402,11.2377,14.043,2546,27655705,8.89833,8.54735,9.2493
HSR,08215,314,3183355,9.5214,8.4553,10.587,2546,27655705,8.89833,8.54735,9.2493
HSR,08216,127,1935750,6.1294,5.047,7.212,2546,27655705,8.89833,8.54735,9.2493
HSR,08217,23,284040,8.1898,4.5112,11.868,2546,27655705,8.89833,8.54735,9.2493
HSR,08218,90,1475615,6.1879,4.8921,7.484,2546,27655705,8.89833,8.54735,9.2493
HSR,08219,77,749990,10.6353,8.1872,13.083,2546,27655705,8.89833,8.54735,9.2493
HSR,08220,453,3467085,12.0394,10.8964,13.182,2546,27655705,8.89833,8.54735,9.2493
HSR,08221,251,2852135,8.6005,7.514,9.687,2546,27655705,8.89833,8.54735,9.2493
